user_id,timestamp,failed_logins,logins_last_hour,bookings_last_hour,bookings_last_day,avg_booking_interval_minutes,card_declines,unique_cards_count,reported_mileage,gps_mileage,travel_speed_kmh,gps_jump_km,location_changes_last_hour,ip_changes_last_day,ip_country_match,vpn_detected,hour_of_day,is_weekend,mileage_discrepancy,is_fraud,fraud_type
user_0057,2025-12-09 04:20:18.259565,0,1,0,4,120,0,1,109,106,105,20,0,0,1,0,20,0,3,0,
user_0015,2025-12-10 16:20:18.277495,0,2,0,3,133,0,1,75,72,96,17,0,1,1,0,15,1,3,0,
user_0018,2025-12-12 17:20:18.239368,1,1,1,4,274,0,1,34,30,98,7,1,0,1,0,22,0,4,0,
user_0027,2025-12-10 14:20:18.282608,1,1,0,3,288,0,1,149,152,100,24,1,1,1,0,11,0,3,0,
user_0040,2025-12-09 14:20:18.322985,1,1,1,1,467,0,2,79,78,80,7,0,1,1,0,13,0,1,0,
user_0031,2025-12-09 05:20:18.267807,0,1,0,1,716,0,1,97,101,72,4,0,0,1,0,9,0,4,0,
user_0081,2025-12-09 18:20:18.238362,1,1,1,1,266,1,1,30,32,45,23,0,0,1,0,22,0,2,0,
user_0157,2025-12-09 10:20:18.367732,5,3,1,3,6,1,1,51,55,81,21,6,4,0,1,23,1,4,1,account_takeover
user_0094,2025-12-08 08:20:18.349662,1,1,0,2,238,0,1,44,42,73,21,0,0,1,0,8,0,2,0,
user_0057,2025-12-10 12:20:18.338055,0,1,0,4,318,0,1,60,57,73,23,0,0,1,0,8,0,3,0,
user_0004,2025-12-11 05:20:18.319977,0,1,1,1,524,0,1,44,46,67,18,1,0,1,0,9,0,2,0,
user_0135,2025-12-11 11:20:18.286187,0,3,0,1,666,0,2,32,30,49,7,0,0,1,0,9,0,2,0,
user_0064,2025-12-08 22:20:18.253448,0,2,0,4,327,1,1,140,139,83,26,0,0,1,0,18,0,1,0,
user_0002,2025-12-12 08:20:18.335227,0,1,2,4,585,0,1,92,93,66,7,1,0,1,0,11,0,1,0,
user_0072,2025-12-09 07:20:18.347424,0,1,2,4,649,1,1,26,21,102,27,0,0,1,0,21,0,5,0,
user_0011,2025-12-12 06:20:18.260732,0,1,0,3,467,0,2,122,117,45,7,1,0,1,0,11,0,5,0,
user_0035,2025-12-09 15:20:18.249961,0,2,0,1,129,0,1,43,42,94,16,0,0,1,0,16,0,1,0,
user_0063,2025-12-13 04:20:18.291587,0,1,2,4,377,0,1,125,127,46,18,1,0,1,0,15,0,2,0,
user_0075,2025-12-10 12:20:18.336229,1,2,1,1,151,0,1,99,98,83,25,0,0,1,0,16,0,1,0,
user_0007,2025-12-10 07:20:18.342378,0,1,1,3,697,0,2,26,23,101,8,1,1,1,0,15,0,3,0,
user_0147,2025-12-09 23:20:18.263767,0,3,0,4,346,0,2,88,89,51,11,2,2,1,0,15,0,1,0,
user_0054,2025-12-13 04:20:18.272874,0,2,0,1,371,0,1,21,19,92,16,0,1,1,0,9,0,2,0,
user_0121,2025-12-11 09:20:18.254466,0,1,0,3,240,0,1,138,134,56,16,1,0,1,0,21,0,4,0,
user_0140,2025-12-14 11:20:18.324990,0,2,0,4,154,0,1,52,50,66,3,0,0,1,0,20,0,2,0,
user_0117,2025-12-09 09:20:18.270864,0,2,1,1,485,0,1,133,134,48,26,1,0,1,0,13,0,1,0,
user_0019,2025-12-14 20:20:18.283639,0,3,1,1,475,1,2,139,142,69,1,1,0,1,0,21,0,3,0,
user_0072,2025-12-07 20:20:18.258560,0,1,2,1,593,0,2,68,67,55,9,0,1,1,0,15,0,1,0,
user_0036,2025-12-13 05:20:18.264771,2,1,1,2,393,0,1,118,118,61,11,0,0,1,0,21,0,0,0,
user_0014,2025-12-13 03:20:18.270864,0,1,0,3,456,0,1,121,120,62,22,0,0,1,0,12,1,1,0,
user_0064,2025-12-13 16:20:18.341281,0,2,0,1,232,0,1,120,119,109,4,0,0,1,0,7,0,1,0,
user_0128,2025-12-09 00:20:18.287188,0,1,1,1,604,0,1,107,102,53,22,1,1,1,0,17,0,5,0,
user_0017,2025-12-09 05:20:18.294605,0,1,1,2,125,0,1,90,89,93,1,0,0,1,0,10,0,1,0,
user_0056,2025-12-11 12:20:18.268836,0,1,1,3,451,0,1,89,88,54,12,0,1,1,0,17,0,1,0,
user_0146,2025-12-09 08:20:18.241373,0,1,1,3,483,1,1,136,135,41,10,0,0,1,0,18,0,1,0,
user_0055,2025-12-08 06:20:18.308928,0,1,0,4,642,0,1,133,133,60,14,0,0,1,0,18,0,0,0,
user_0193,2025-12-12 15:20:18.367073,1,3,2,10,68,8,5,34,28,113,33,0,1,1,1,9,0,6,1,payment_fraud
user_0146,2025-12-10 09:20:18.294605,0,1,1,4,569,0,1,24,24,86,25,0,0,1,0,20,0,0,0,
user_0181,2025-12-13 05:20:18.367073,14,7,0,3,39,2,2,71,65,40,49,8,14,0,1,5,1,6,1,account_takeover
user_0099,2025-12-14 00:20:18.279572,0,1,0,3,357,0,1,53,53,54,10,1,2,1,0,14,0,0,0,
user_0014,2025-12-13 14:20:18.353878,1,3,2,2,264,0,1,71,72,58,5,0,0,1,0,16,0,1,0,
user_0056,2025-12-08 22:20:18.339186,0,1,0,3,629,0,2,117,112,56,9,0,0,1,0,11,0,5,0,
user_0074,2025-12-09 16:20:18.314443,0,2,1,4,258,0,2,129,130,94,18,0,0,1,0,16,0,1,0,
user_0090,2025-12-10 12:20:18.317499,0,3,0,3,480,0,1,74,74,54,2,0,1,1,0,15,0,0,0,
user_0003,2025-12-14 16:20:18.266278,2,2,1,4,326,0,1,96,100,76,8,0,1,1,0,11,0,4,0,
user_0071,2025-12-07 21:20:18.310435,1,2,0,4,548,0,1,59,54,68,1,2,0,1,0,13,0,5,0,
user_0017,2025-12-09 22:20:18.269839,0,2,1,3,652,0,1,136,134,64,1,0,0,1,0,8,0,2,0,
user_0088,2025-12-14 10:20:18.347424,0,1,0,1,315,0,1,96,93,94,1,0,0,1,0,7,0,3,0,
user_0042,2025-12-09 18:20:18.241373,0,1,0,3,409,0,1,105,101,53,22,1,0,1,0,10,0,4,0,
user_0057,2025-12-13 18:20:18.279572,1,1,0,2,705,0,2,43,41,82,22,0,0,1,0,19,1,2,0,
user_0169,2025-12-08 08:20:18.371586,0,1,9,19,2,0,4,66,59,112,57,5,1,0,0,19,1,7,1,rapid_booking_fraud
user_0162,2025-12-11 01:20:18.366033,2,3,4,2,134,1,2,155,164,367,745,10,6,0,1,0,0,9,1,gps_spoofing
user_0097,2025-12-08 21:20:18.346919,0,1,0,1,704,0,1,24,27,60,4,0,0,1,0,16,0,3,0,
user_0177,2025-12-10 06:20:18.370078,11,5,0,4,12,0,1,33,37,54,43,6,12,0,1,23,0,4,1,account_takeover
user_0034,2025-12-12 23:20:18.249961,0,2,0,4,405,0,1,33,33,101,22,2,0,1,0,19,0,0,0,
user_0132,2025-12-09 09:20:18.312437,1,1,0,1,395,0,2,60,55,43,6,0,0,1,0,19,0,5,0,
user_0009,2025-12-11 08:20:18.297706,2,2,0,3,511,0,1,77,74,49,14,0,0,1,0,18,1,3,0,
user_0200,2025-12-14 19:20:18.377118,2,4,13,12,4,4,4,75,67,78,85,3,2,0,1,21,1,8,1,rapid_booking_fraud
user_0009,2025-12-08 22:20:18.297123,0,1,0,4,579,0,1,62,59,105,10,1,0,1,0,10,0,3,0,
user_0117,2025-12-11 04:20:18.251402,0,1,0,4,479,0,1,124,124,83,12,2,0,1,0,21,1,0,0,
user_0139,2025-12-09 03:20:18.234694,0,1,0,1,457,0,1,80,81,86,7,0,0,1,0,11,0,1,0,
user_0043,2025-12-14 01:20:18.294605,2,2,1,2,245,0,1,26,25,102,25,0,0,1,0,19,0,1,0,
user_0021,2025-12-12 13:20:18.304824,0,2,1,4,441,0,1,76,79,109,24,0,0,1,0,16,1,3,0,
user_0172,2025-12-11 16:20:18.370078,3,2,6,8,119,11,8,76,81,59,41,2,1,1,0,15,1,5,1,payment_fraud
user_0022,2025-12-11 03:20:18.330009,1,1,1,2,527,0,1,105,105,99,1,0,1,1,0,16,0,0,0,
user_0134,2025-12-09 05:20:18.258560,1,3,0,4,383,0,1,116,118,49,2,1,0,1,0,18,0,2,0,
user_0137,2025-12-08 07:20:18.328007,0,2,1,1,405,0,1,119,120,98,17,0,0,1,0,9,0,1,0,
user_0090,2025-12-09 10:20:18.320979,0,1,1,2,645,0,1,89,85,61,13,1,1,1,0,9,0,4,0,
user_0033,2025-12-11 10:20:18.312437,0,2,2,4,313,0,1,110,107,51,1,1,0,1,0,13,0,3,0,
user_0157,2025-12-14 19:20:18.362976,0,1,2,11,117,9,8,51,60,104,48,0,4,1,1,17,0,9,1,payment_fraud
user_0049,2025-12-08 14:20:18.347424,1,1,1,3,507,0,1,30,32,91,3,0,0,1,0,7,0,2,0,
user_0026,2025-12-14 17:20:18.287188,0,1,1,1,300,0,2,54,50,55,28,0,0,1,0,19,0,4,0,
user_0151,2025-12-13 12:20:18.371081,2,1,3,7,34,6,7,53,58,45,53,3,1,0,0,20,1,5,1,payment_fraud
user_0035,2025-12-14 17:20:18.249961,0,1,2,2,174,1,1,114,110,70,29,2,1,1,0,13,0,4,0,
user_0100,2025-12-14 19:20:18.278527,0,1,0,3,271,0,2,79,83,94,17,1,1,1,0,18,1,4,0,
user_0093,2025-12-07 21:20:18.318974,0,2,2,2,370,0,1,71,67,83,2,1,0,1,0,21,0,4,0,
user_0076,2025-12-09 10:20:18.279572,0,1,0,2,233,0,1,96,100,49,3,0,0,1,0,10,1,4,0,
user_0024,2025-12-14 07:20:18.245401,1,3,0,4,274,0,1,54,50,57,24,0,0,1,0,17,0,4,0,
user_0144,2025-12-09 16:20:18.266278,0,3,1,2,301,0,1,43,38,73,24,0,0,1,0,11,0,5,0,
user_0024,2025-12-10 11:20:18.303819,0,1,0,4,218,1,1,69,65,80,18,1,0,1,0,17,0,4,0,
user_0016,2025-12-09 04:20:18.311434,1,1,2,2,403,1,2,135,135,80,17,0,1,1,0,16,0,0,0,
user_0197,2025-12-09 16:20:18.371081,2,1,1,7,70,2,1,124,121,232,777,6,6,1,1,15,1,3,1,gps_spoofing
user_0109,2025-12-11 23:20:18.309931,0,1,0,2,215,0,1,56,60,102,13,1,0,1,0,13,0,4,0,
user_0062,2025-12-10 11:20:18.345919,0,3,0,4,387,0,1,77,73,61,5,1,0,1,0,12,0,4,0,
user_0193,2025-12-08 06:20:18.365030,1,1,6,36,6,2,7,68,77,51,15,6,1,0,1,18,1,9,1,rapid_booking_fraud
user_0103,2025-12-08 10:20:18.272874,1,1,0,1,698,0,1,76,71,96,0,0,0,1,0,14,0,5,0,
