actions_last_hour,actions_last_day,failed_actions_count,avg_action_interval_minutes,sensitive_actions_count,delete_operations_count,update_operations_count,create_operations_count,view_operations_count,unique_entity_types,consecutive_failures,privilege_level_changes,data_access_volume,ip_diversity_score,device_changes,hour_of_day,is_weekend,recent_actions,entity_types_accessed,is_suspicious,entity_diversity_score,unusual_time_score,action_velocity,risk_score_trend,anomaly_score
6,20,0,14.008460499773651,0,0,5,0,1,3,0,0,17,0.7428378673310196,0,15,0,CREATE_VEHICLE|VIEW_BOOKING|VIEW_BOOKING|UPDATE_BOOKING|UPDATE_LISTING|UPDATE_BOOKING,ROLE|LOG|INCIDENT,0,3.0,0,0.1,0.0,0.22285136019930588
1,33,0,16.844998791736828,1,0,0,0,1,1,0,0,21,0.5232911195982379,0,12,1,UPDATE_USER,VEHICLE,0,1.0,2,0.016666666666666666,0.15,0.5569873358794714
6,29,0,17.119703322803787,1,0,1,2,3,3,0,0,15,0.09698183182188524,0,14,0,APPROVE_REFUND|VIEW_ANALYTICS|UPDATE_LISTING|VIEW_ANALYTICS|APPROVE_REFUND|CREATE_VEHICLE,BOOKING|PERMISSION|PERMISSION,0,2.0,0,0.1,0.15,0.02909454954656557
3,14,0,15.275332140210985,0,0,1,1,1,3,0,0,18,0.7107870498710648,0,11,0,UPDATE_VEHICLE|UPDATE_BOOKING|APPROVE_REFUND,USER|INCIDENT|REFUND,0,3.0,0,0.05,0.0,0.21323611496131942
3,25,0,6.9548270273061625,1,0,1,0,2,2,0,1,16,0.4382891402834467,0,12,0,CREATE_VEHICLE|GENERATE_REPORT|GENERATE_REPORT,PAYMENT|LOG,0,2.0,0,0.05,0.15,0.131486742085034
4,34,0,11.962712089831236,2,1,1,0,2,1,0,0,15,0.5726815371850774,0,17,0,GENERATE_REPORT|VIEW_USER|CREATE_VEHICLE|VIEW_USER,LOG,0,1.0,0,0.06666666666666667,0.3,0.17180446115552322
2,29,0,20.191704758838824,0,0,1,0,1,2,0,0,22,0.2583101693979102,0,15,1,UPDATE_BOOKING|UPDATE_LISTING,INCIDENT|PERMISSION,0,2.0,2,0.03333333333333333,0.0,0.4774930508193731
6,29,0,12.969530691139486,0,0,4,0,2,3,0,0,18,0.06471256600644582,0,17,0,VIEW_ANALYTICS|CREATE_VEHICLE|UPDATE_BOOKING|VIEW_BOOKING|CREATE_BOOKING|GENERATE_REPORT,INCIDENT|REFUND|DOCUMENT,0,3.0,0,0.1,0.0,0.019413769801933742
20,41,6,4.00306764247023,13,1,3,2,14,3,5,5,75,2.443790596747754,3,4,0,APPROVE_REFUND|CREDENTIAL_CHANGE|REVOKE_ACCESS|UPDATE_LISTING|CREATE_BOOKING|APPROVE_REFUND|DELETE_USER|VIEW_DASHBOARD|CREATE_VEHICLE|UPDATE_ROLE,LOG|ROLE|PERMISSION,1,3.0,3,0.3333333333333333,2.55,1.3331371790243263
6,28,0,12.88431998842469,0,0,1,1,4,3,0,0,22,0.9660264856470816,0,15,0,VIEW_BOOKING|VIEW_DASHBOARD|VIEW_DASHBOARD|UPDATE_VEHICLE|UPDATE_LISTING|GENERATE_REPORT,INCIDENT|INCIDENT|DOCUMENT,0,2.0,0,0.1,0.0,0.2898079456941245
26,297,9,2.5324097965982797,5,0,2,0,24,4,1,0,347,4.708143148424517,2,23,0,EXPORT_VEHICLES|VIEW_USER|VIEW_ANALYTICS|VIEW_ANALYTICS|BACKUP_DATA|COPY_DATA|VIEW_USER|BACKUP_DATA|UPDATE_VEHICLE|VIEW_DASHBOARD,USER|ROLE|REFUND|LOG,1,4.0,3,0.43333333333333335,1.65,2.012442944527355
3,34,0,10.664651391186021,1,0,0,0,3,2,0,0,17,0.9997290637996308,0,9,0,CREATE_VEHICLE|UPDATE_USER|CREATE_VEHICLE,VEHICLE|ROLE,0,2.0,0,0.05,0.15,0.2999187191398892
2,30,0,9.180803465226107,0,0,0,0,2,3,0,0,26,0.83367258893559,1,12,0,VIEW_USER|UPDATE_BOOKING,BOOKING|PAYMENT|LOG,0,3.0,0,0.03333333333333333,0.0,0.250101776680677
22,114,4,3.12472277208269,7,0,1,0,21,5,1,0,216,1.6301384631143079,2,23,1,UPDATE_BOOKING|VIEW_BOOKING|UPDATE_USER|VIEW_ALL_USERS|UPDATE_LISTING|CREATE_BOOKING|UPDATE_LISTING|UPDATE_VEHICLE|VIEW_USER|VIEW_BOOKING,BOOKING|ROLE|PERMISSION|PAYMENT|INCIDENT,1,5.0,5,0.36666666666666664,1.4500000000000002,1.4890415389342924
