user_id,timestamp,failed_logins,logins_last_hour,bookings_last_hour,bookings_last_day,avg_booking_interval_minutes,card_declines,unique_cards_count,reported_mileage,gps_mileage,travel_speed_kmh,gps_jump_km,location_changes_last_hour,ip_changes_last_day,ip_country_match,vpn_detected,hour_of_day,is_weekend,mileage_discrepancy,is_fraud,fraud_type
user_0064,2026-01-25 14:56:44.946277,0,1,2,3,201,0,2,20,21,91,9,0,0,1,0,20,0,1,0,
user_0104,2026-01-21 01:56:45.035564,0,1,0,4,663,0,2,56,60,51,13,0,0,1,0,7,0,4,0,
user_0021,2026-01-20 22:56:45.035564,0,1,0,3,441,0,2,75,78,82,7,0,0,1,0,19,0,3,0,
user_0082,2026-01-21 21:56:45.066213,0,1,0,3,411,0,1,140,136,78,11,1,1,1,0,21,0,4,0,
user_0074,2026-01-23 02:56:45.055335,0,3,2,3,524,0,1,70,70,78,19,0,0,1,0,22,0,0,0,
user_0010,2026-01-25 00:56:44.963747,0,2,1,4,622,0,1,148,147,52,11,0,0,1,0,10,0,1,0,
user_0067,2026-01-20 16:56:44.966117,0,3,1,3,191,0,2,117,119,82,3,0,0,1,0,10,0,2,0,
user_0039,2026-01-23 23:56:45.012524,0,2,1,1,706,0,1,136,131,76,19,0,0,1,0,22,0,5,0,
user_0017,2026-01-21 07:56:44.955704,0,1,1,1,162,0,1,28,28,49,25,2,0,1,0,17,0,0,0,
user_0065,2026-01-19 08:56:45.015553,0,2,2,3,524,0,2,76,80,109,12,0,0,1,0,16,0,4,0,
user_0199,2026-01-25 07:56:45.145713,0,2,4,7,163,0,2,88,84,301,399,7,3,0,1,21,0,4,1,gps_spoofing
user_0046,2026-01-23 07:56:45.066213,0,1,0,2,594,0,1,31,33,60,26,0,0,1,0,17,0,2,0,
user_0042,2026-01-20 04:56:45.046283,0,1,1,4,563,0,1,98,94,105,21,1,0,1,0,16,0,4,0,
user_0088,2026-01-19 00:56:45.008506,0,2,0,2,713,0,1,147,145,45,19,0,0,1,0,17,0,2,0,
user_0166,2026-01-22 18:56:45.138909,19,4,2,5,45,0,2,39,32,47,35,8,13,0,1,0,0,7,1,account_takeover
user_0026,2026-01-20 12:56:44.999631,1,2,1,4,151,0,1,144,142,73,4,0,0,1,0,9,0,2,0,
user_0050,2026-01-19 12:56:45.080876,1,2,0,3,210,0,1,20,21,44,10,0,1,1,0,11,0,1,0,
user_0022,2026-01-24 00:56:45.015553,0,1,0,3,307,1,1,53,51,57,20,0,0,1,0,19,0,2,0,
user_0138,2026-01-22 02:56:45.066213,1,1,0,1,252,0,1,116,117,105,8,0,0,1,0,21,0,1,0,
user_0079,2026-01-20 23:56:44.977746,0,1,1,3,276,0,1,47,45,79,9,0,1,1,0,22,1,2,0,
user_0058,2026-01-20 08:56:44.955704,0,1,1,4,287,0,1,20,22,70,23,2,1,1,0,8,0,2,0,
user_0156,2026-01-23 12:56:45.145713,4,1,5,4,37,13,7,24,23,68,11,2,1,1,1,17,1,1,1,payment_fraud
user_0036,2026-01-25 07:56:45.012524,1,2,0,2,489,0,1,105,108,95,28,0,1,1,0,17,0,3,0,
user_0111,2026-01-23 16:56:44.955704,0,1,2,1,582,0,1,120,122,41,22,2,0,1,0,19,1,2,0,
user_0137,2026-01-20 16:56:44.985927,0,1,0,2,465,1,1,49,45,93,10,0,0,1,0,12,1,4,0,
user_0042,2026-01-22 07:56:44.969695,1,1,0,4,569,0,1,24,21,83,23,1,0,1,0,19,0,3,0,
user_0040,2026-01-23 02:56:44.994586,1,1,1,4,577,0,2,48,45,58,3,1,0,1,0,9,1,3,0,
user_0108,2026-01-23 21:56:45.008506,0,1,1,3,447,0,1,92,87,100,2,0,0,1,0,9,0,5,0,
user_0134,2026-01-24 04:56:45.024713,0,1,1,4,551,0,1,80,84,72,24,0,0,1,0,22,0,4,0,
user_0064,2026-01-24 15:56:45.066213,0,1,0,3,287,0,2,57,56,52,15,1,1,1,0,11,0,1,0,
user_0152,2026-01-20 03:56:45.145713,2,4,15,34,6,2,6,22,28,67,10,4,2,1,1,5,0,6,1,rapid_booking_fraud
user_0061,2026-01-23 22:56:44.966117,0,2,1,3,491,0,2,21,20,81,12,1,0,1,0,7,0,1,0,
user_0163,2026-01-22 05:56:45.145713,19,7,0,1,43,0,1,39,34,41,0,9,13,0,0,18,0,5,1,account_takeover
user_0062,2026-01-22 21:56:45.015553,0,2,0,1,316,0,1,74,78,107,19,1,0,1,0,19,0,4,0,
user_0138,2026-01-19 05:56:45.035564,0,2,0,4,700,0,2,24,27,46,10,0,1,1,0,22,1,3,0,
user_0067,2026-01-25 13:56:45.035564,1,3,2,3,318,0,1,149,146,109,15,2,0,1,0,11,0,3,0,
user_0073,2026-01-25 03:56:44.979754,0,2,1,1,511,0,1,141,145,98,18,0,0,1,0,10,0,4,0,
user_0140,2026-01-21 19:56:45.029485,0,2,0,4,362,1,1,89,89,62,13,0,0,1,0,8,0,0,0,
user_0139,2026-01-20 05:56:44.954690,0,1,0,2,461,1,1,75,78,60,0,1,0,1,0,12,0,3,0,
user_0133,2026-01-20 09:56:44.977746,1,2,0,3,393,0,1,77,79,66,0,1,0,1,0,10,1,2,0,
user_0025,2026-01-22 03:56:45.074542,0,1,1,2,138,0,1,87,90,108,4,2,0,1,0,15,0,3,0,
user_0123,2026-01-23 04:56:44.965261,1,3,2,2,698,0,2,59,55,46,25,0,2,1,0,14,0,4,0,
user_0168,2026-01-21 06:56:45.145713,1,3,18,21,4,4,5,37,41,125,97,7,4,0,1,2,0,4,1,rapid_booking_fraud
user_0134,2026-01-21 13:56:44.975731,0,2,0,1,133,0,2,63,62,97,11,0,0,1,0,16,0,1,0,
user_0173,2026-01-23 08:56:45.154753,2,3,5,13,95,7,3,94,91,68,30,2,1,1,0,12,1,3,1,payment_fraud
user_0071,2026-01-25 06:56:45.055335,1,3,1,1,608,0,1,83,78,54,25,0,0,1,0,12,0,5,0,
user_0015,2026-01-21 11:56:45.075563,0,3,0,4,294,0,1,121,118,94,9,1,1,1,0,18,0,3,0,
user_0054,2026-01-25 09:56:45.015553,0,1,1,4,307,0,1,56,60,52,25,0,1,1,0,12,0,4,0,
user_0161,2026-01-21 10:56:45.145713,1,2,6,23,6,4,5,28,27,118,47,6,3,0,1,2,1,1,1,rapid_booking_fraud
user_0024,2026-01-21 10:56:45.080876,0,2,0,4,154,0,1,105,104,41,16,0,0,1,0,20,0,1,0,
user_0068,2026-01-23 19:56:45.055335,0,2,0,3,693,0,1,57,54,54,0,0,1,1,0,16,0,3,0,
user_0124,2026-01-18 22:56:45.080876,1,3,1,3,464,0,2,61,60,42,25,0,0,1,0,14,0,1,0,
user_0136,2026-01-21 16:56:44.954690,2,2,0,1,515,0,1,112,108,75,12,0,0,1,0,10,0,4,0,
user_0080,2026-01-20 09:56:45.075563,1,2,1,2,627,0,1,137,141,79,3,1,0,1,0,13,0,4,0,
user_0131,2026-01-22 13:56:45.046283,0,1,0,3,304,0,1,83,84,64,8,0,0,1,0,21,1,1,0,
user_0032,2026-01-25 07:56:44.985927,0,1,0,1,555,0,1,108,104,107,19,0,0,1,0,21,0,4,0,
user_0059,2026-01-23 18:56:44.999631,0,1,1,4,181,0,1,26,25,97,4,2,0,1,0,9,1,1,0,
user_0115,2026-01-18 16:56:44.973713,0,1,0,2,205,0,1,103,99,67,12,0,0,1,0,12,0,4,0,
user_0163,2026-01-25 00:56:45.138909,4,3,7,3,21,7,4,35,38,115,16,1,1,0,0,16,1,3,1,payment_fraud
user_0116,2026-01-24 11:56:45.035564,0,1,0,2,341,0,1,82,84,40,16,1,1,1,0,22,1,2,0,
user_0003,2026-01-23 20:56:45.080876,0,3,1,2,560,0,1,24,22,74,10,0,0,1,0,11,1,2,0,
user_0138,2026-01-25 05:56:45.080876,0,2,0,4,360,0,1,132,130,62,3,2,0,1,0,20,0,2,0,
